Bond-type	Bond length*	Error*
C-C	1.513	0.014
C=C	1.455	0.011
C-N	1.469	0.010
C=N	1.279	0.008
C-O	1.413	0.018
C=O	1.214	0.019
C-S	1.808	0.010
C-Se	1.970	0.032

* Information is taken from Allen 1987.

In order to get retrieve all bonds with one parameter, bond length must be:
1.592 +/- 0.404.
